Date,AAPL,MSFT,TSLA
2019-02-04,40.669403076171875,98.71000671386719,20.859333038330078
2019-02-05,41.365234375,100.09159851074219,21.42333221435547
2019-02-06,41.37948989868164,98.98069763183594,21.148000717163086
2019-02-07,40.59579086303711,98.27125549316406,20.500667572021484
2019-02-08,40.643489837646484,98.64463806152344,20.386667251586914
2019-02-11,40.40974807739258,98.25257873535156,20.856000900268555
2019-02-12,40.757965087890625,99.78353118896484,20.78733253479004
2019-02-13,40.588623046875,99.7088623046875,20.544666290283203
2019-02-14,40.73651123046875,99.79286193847656,20.251333236694336
2019-02-15,40.6458740234375,101.02510833740234,20.525333404541016
2019-02-19,40.76750564575195,100.97843933105469,20.375999450683594
2019-02-20,41.02985763549805,100.45343780517578,20.17066764831543
2019-02-21,40.798526763916016,102.57219696044922,19.415332794189453
2019-02-22,41.254051208496094,104.0346908569336,19.6473331451416
2019-02-25,41.5545768737793,104.61593627929688,19.917999267578125
2019-02-26,41.57843017578125,105.33782196044922,19.857332229614258
2019-02-27,41.70721435546875,105.15969848632812,20.982667922973633
2019-02-28,41.29698944091797,105.0284423828125,21.325332641601562
2019-03-01,41.73106384277344,105.49717712402344,19.652666091918945
2019-03-04,41.94094467163086,105.24407196044922,19.02400016784668
2019-03-05,41.86463165283203,104.71905517578125,18.43600082397461
2019-03-06,41.62375259399414,104.7659683227539,18.416000366210938
2019-03-07,41.1419677734375,103.49093627929688,18.439332962036133
2019-03-08,41.239749908447266,103.60343933105469,18.94266700744629
2019-03-11,42.66838836669922,105.7784652709961,19.39466667175293
2019-03-12,43.14778137207031,106.51909637451172,18.890666961669922
2019-03-13,43.33858871459961,107.34406280517578,19.263999938964844
2019-03-14,43.820350646972656,107.42845153808594,19.33066749572754
2019-03-15,44.3903923034668,108.66597747802734,18.36199951171875
2019-03-18,44.843544006347656,110.22220611572266,17.965999603271484
2019-03-19,44.48817443847656,110.2972183227539,17.83133316040039
2019-03-20,44.87693405151367,110.17533874511719,18.239999771118164
2019-03-21,46.52977752685547,112.70658111572266,18.26799964904785
2019-03-22,45.56621170043945,109.73471069335938,17.635332107543945
2019-03-25,45.01527404785156,110.30658721923828,17.3613338470459
2019-03-26,44.55018615722656,110.54096984863281,17.851333618164062
2019-03-27,44.95086669921875,109.47222137451172,18.32200050354004
2019-03-28,45.010494232177734,109.62222290039062,18.57466697692871
2019-03-29,45.303871154785156,110.56908416748047,18.657333374023438
2019-04-01,45.61153030395508,111.58158874511719,19.278667449951172
2019-04-02,46.274559020996094,111.74098205566406,19.058666229248047
2019-04-03,46.5917854309082,112.47224426269531,19.45400047302246
2019-04-04,46.67286682128906,111.90034484863281,17.851999282836914
2019-04-05,46.98531723022461,112.39723205566406,18.33066749572754
2019-04-08,47.72467803955078,112.4347152709961,18.213333129882812
2019-04-09,47.581565856933594,111.82534790039062,18.15399932861328
2019-04-10,47.84869384765625,112.678466796875,18.40399932861328
2019-04-11,47.45039749145508,112.80973052978516,17.89466667175293
2019-04-12,47.431312561035156,113.3909912109375,17.84666633605957
2019-04-15,47.517181396484375,113.48474884033203,17.7586669921875
2019-04-16,47.52194595336914,113.22222900390625,18.224000930786133
2019-04-17,48.44734191894531,114.15971374511719,18.082000732421875
2019-04-18,48.6214485168457,115.65973663330078,18.21733283996582
2019-04-22,48.78125,116.0253677368164,17.516666412353516
2019-04-23,49.484840393066406,117.60037231445312,17.593332290649414
2019-04-24,49.40851974487305,117.19722747802734,17.243999481201172
